SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
1,9,California,State,0.9680696587093984,0.9658502932045533,0.968421052631579,0.968,0.9705882352941176,0.9690721649484536,0.9689013908423191,0.9636363636363636,0.9578947368421052,0.953360768175583,0.9483793517406963,0.9428571428571428,0.9417040358744395,0.9392937902243869,0.9433962264150944,0.9472259810554804,0.9513395297977036,0.9535992557274101,0.9530542986425339,0.9524542237267272,0.9508196721311475,0.95,0.95,0.9501187648456056,0.9505376344086022,0.9528346831824679,0.9603900966327125,0.967741935483871,0.9767441860465116,0.9811465948441709,0.9838709677419355,0.9857040670345392,0.9857142857142858,0.9879839786381842,0.9898477157360406,0.990909090909091,0.9980806142034548,1,1,1,1.0003031221582297,1.0004349717268377,1.0002255477950932,1,1,0.9922903943216885,0.9848242137020935,0.98,0.9769923307769256,0.9820462832966614,0.9865168539325843,0.9894736842105263,0.9896432681242808,0.989048928021381,0.9866666666666667,0.9823929571828731,0.9782608695652174,0.9757894736842105,0.9732407268514457,0.9706601466992665,0.9693558474046279,0.975609756097561,0.9838709677419355,0.9888579387186629,0.9925307000886188,0.9926854754440961,0.9904761904761905,0.9889643463497453,0.9871244635193133,0.983538237132736,0.9807692307692307,0.9795748228428511,0.9782135076252724,0.9821627426026089,0.9894551845342706,0.9942652329749104,0.9982072944570369,0.9974278365247213,0.9941176470588236,0.989724175229854,0.9863945578231292,0.9845132743362832,0.9828009828009828,0.9803921568627451,0.980342505854801,0.9854014598540146,0.9928514694201748,1,1,1,1,0.9991338110064898,0.9923076923076923,0.9914680788467196,0.9904123156333091,0.9871244635193133,0.9864361636538509,0.9935379644588045,1,1,1,1,0.9968992248062015,0.9898477157360406,0.9838709677419355
2,54,Texas,State,0.9613987473903967,0.9595487441464453,0.9714115738236885,0.9741308438930631,0.9773449477351916,0.972122905027933,0.962317617259213,0.9568967741935483,0.9588998404639684,0.951431268295768,0.9421052631578948,0.9384334838485585,0.9323869156626506,0.9401426277372262,0.9475979899497488,0.9526030085022891,0.9529855133646832,0.9528072289156626,0.9467142857142857,0.9477277277277277,0.9494297050996726,0.9452363090772693,0.9410551084491012,0.94728,0.9488752556237219,0.9564619289340102,0.9584024773969371,0.9642729546266524,0.9673,0.9713031288011708,0.9716199954537188,0.9710255829165064,0.9718810810810811,0.9634421999450269,0.9638836772983115,0.9652380281630022,0.9652551724137931,0.9646790021724474,0.9712137835186396,0.9729293993677556,0.9745466666666667,0.9738585607940446,0.9720775969962453,0.9689765957446809,0.970865306122449,0.9655172413793104,0.961,0.9628740336516598,0.9578650121583148,0.9609316251027679,0.964262276639229,0.970377640920366,0.9738273921200751,0.9762893617021277,0.9733682008368201,0.9721625,0.9679272727272727,0.9607142857142857,0.9598303930005737,0.96562,0.9669384615384615,0.9695726495726495,0.9768133333333333,0.979856,0.985482736822957,0.9969187675070028,0.9814639667862817,0.978391356542617,0.9754171385428464,0.969351276742581,0.9698224852071006,0.9637537537537537,0.9676145339652449,0.9698996655518395,0.9766318085311716,0.9818373256120032,0.9828265481361754,0.9833333333333333,0.9824561403508771,0.9791666666666666,0.9742120343839542,0.9707317073170731,0.966542750929368,0.9662815055071289,0.9662980516061085,0.9688195991091314,0.9741162790697674,0.9764309764309764,0.9798571428571429,0.9790897489539749,0.9787130486712452,0.9743082191780822,0.9696785930867192,0.968664406779661,0.9656716417910448,0.9652916233747999,0.9658906666666667,0.9699316698701312,0.9731893805309735,0.9816699388997964,0.9827538744850368,0.9807075471698113,0.9781794841871864,0.9714424491778454,0.9733692452830189
3,43,New York,State,0.9056244041944709,0.9008433075933076,0.9072715143428952,0.9170487703209671,0.9228987112274152,0.9333333333333333,0.9257169306198018,0.9265850945494994,0.926056338028169,0.9170487703209671,0.9155937052932761,0.9127880429011362,0.9080459770114943,0.905982905982906,0.9081419624217119,0.9149631483799193,0.9204389574759945,0.9280500521376434,0.9299416180150125,0.9309309309309309,0.9220872051465332,0.9171762090050027,0.9073724007561437,0.9017341040462428,0.9008189262966333,0.8972602739726028,0.8998393144081414,0.9102730819245773,0.9195979899497487,0.9306122448979591,0.9355692850838482,0.9326424870466321,0.9313556398758193,0.9234828496042217,0.9177903436276642,0.9187279151943463,0.9136420525657072,0.9151824817518248,0.912234279107,0.925531914893617,0.9343434343434344,0.9436619718309859,0.9493536166750192,0.9513991163475699,0.9454148471615721,0.9377316530763529,0.935080405002978,0.9310344827586207,0.9284692417739628,0.9258710155670867,0.9298998569384835,0.9282700421940928,0.9400150402406439,0.948905109489051,0.9535020600353149,0.9514777040274854,0.9440104166666666,0.9383147347881,0.9354066985645934,0.9303030303030303,0.929368029739777,0.925,0.9259259259259259,0.937943971985993,0.9455268668466396,0.9523809523809523,0.9574848160057163,0.956140350877193,0.951188986232791,0.9456090048063023,0.9380097879282219,0.9383246032819839,0.9363636363636364,0.9393939393939394,0.9399075500770416,0.943952802359882,0.9532878932316492,0.9598870056497175,0.9645853193517636,0.9663866970937192,0.959375,0.9564449676280165,0.9558282208588957,0.951188986232791,0.9473684210526315,0.948509485094851,0.9511568123393316,0.9571428571428572,0.9655172413793104,0.97,0.9723546234509056,0.9711595055915244,0.9681093394077449,0.9642861659422097,0.9595421472845942,0.9573221768048288,0.9546666666666667,0.9531772575250836,0.9555984555984556,0.962278675904542,0.9699197726556792,0.976,0.9785653043726779,0.974025974025974,0.9679786381842457
4,14,Florida,State,0.88,0.8695652173913043,0.873015873015873,0.8790793682391318,0.8809523809523809,0.8873423227490214,0.8985061315496098,0.9005002779321846,0.8944543828264758,0.8888888888888888,0.8897519349475894,0.8886107634543179,0.8962067528136723,0.8904837852206273,0.8834618943417076,0.8827586206896552,0.8888271261812117,0.8930583492609316,0.8967173738991193,0.9029739776951673,0.9069767441860465,0.9024753657498261,0.9090909090909091,0.9111900718617678,0.9081356867071153,0.9095043201455207,0.9119496855345912,0.9125,0.9192059874511128,0.9230769230769231,0.9261576971214017,0.929368029739777,0.9290138161029061,0.9328859060402684,0.9323308270676691,0.9308176100628931,0.933955970647098,0.9306666666666666,0.9333333333333333,0.935672514619883,0.9386733416770964,0.9411764705882353,0.9451445515196442,0.9467667023937121,0.9466666666666667,0.9444444444444444,0.9431939978563773,0.9381663113006397,0.9352750809061489,0.9315743394256443,0.933955970647098,0.933604979253112,0.9364548494983278,0.9421594294122128,0.9411764705882353,0.9417304296645085,0.9411764705882353,0.9397590361445783,0.9384615384615385,0.9393939393939394,0.937498046813963,0.9361702127659575,0.9404332021489461,0.9428571428571428,0.9464285714285714,0.9493670886075949,0.95,0.9490333919156415,0.9482918916146241,0.947998164576323,0.9472022452201369,0.9477124183006536,0.9472981987991995,0.9458577951728636,0.9491137793024585,0.9503167722574192,0.9529533333333333,0.9549795361527967,0.9558221772893185,0.9558823529411765,0.9545040946314831,0.9539693128752502,0.9523809523809523,0.9510054363523167,0.9498861047835991,0.9487179487179487,0.9500316677222574,0.9512195121951219,0.953757225433526,0.9550274198450288,0.9554551323434474,0.9551020408163265,0.9552119402985075,0.9534883720930233,0.9539693128752502,0.9538461538461539,0.9523809523809523,0.952645974193322,0.9550561797752809,0.9559804357492219,0.9568421052631579,0.9587328053355565,0.9572901325478645,0.956486510661608,0.9554777388694348
5,21,Illinois,State,0.883283592112774,0.8856682769726248,0.88875,0.900225056264066,0.9064748201438849,0.9133964817320703,0.9096315993260338,0.9064155385520895,0.9045419553502695,0.8943089430894309,0.8917835671342685,0.8823529411764706,0.8788051997540423,0.8811881188118812,0.8863636363636364,0.885513153019637,0.8984573656551958,0.9032258064516129,0.9012658227848102,0.9025787965616046,0.8898776418242491,0.8878127522195319,0.8797300554350446,0.8839242350655658,0.88,0.8793208004851425,0.8844230413039452,0.8991399530883503,0.9133333333333333,0.9216867469879518,0.9233773761584468,0.9229058878864327,0.9208972845336482,0.9168765743073047,0.9169054441260746,0.9181969949916527,0.9128433084616606,0.914396887159533,0.9216725559481743,0.929368029739777,0.9402061855670103,0.9491592735692842,0.9505494505494505,0.9489302967563837,0.9472072353244827,0.9440546552823177,0.9362934362934363,0.9345794392523364,0.9328358208955224,0.9333333333333333,0.9319727891156463,0.9446543676372527,0.9507666187802011,0.9558232931726908,0.9539121114683816,0.95009500950095,0.9440559440559441,0.9386700041718815,0.931961120640366,0.9273182957393483,0.922427206045788,0.9230925293006851,0.9292682926829269,0.9428571428571428,0.9523399014778324,0.9563312123087153,0.9529411764705882,0.9503222357320211,0.9443631039531479,0.94,0.9351183851596581,0.9302325581395349,0.9262585158261007,0.9269756585528509,0.9379689844922461,0.9503655252020008,0.9575988565983802,0.9603340292275574,0.9600925390399074,0.9566486035848271,0.9511919624279175,0.9472567444680207,0.9437751004016064,0.9387875220718069,0.9363733835856781,0.9363831308077198,0.9475173276013336,0.9571496939263852,0.9634835523414763,0.9657560600230858,0.9636496706513784,0.96,0.9556617401933548,0.9510086455331412,0.9476117103235747,0.9436619718309859,0.9389913676458701,0.9392857142857143,0.9515246286161063,0.9633197480548351,0.9659587174323234,0.9683666881859264,0.9657142857142857,0.960327868852459,0.9555626337972873
6,47,Pennsylvania,State,0.9212950776520137,0.9157303370786517,0.928741760010054,0.9365687526607067,0.9428571428571428,0.9443777511004402,0.9382819015846539,0.9332321699544764,0.928,0.920816664367499,0.9226215022091311,0.9130245664466592,0.9088310945984567,0.9020214781763294,0.9088675854241173,0.9123013537374927,0.9255784865540964,0.9292735974898697,0.9309309309309309,0.9232480533926585,0.9174311926605505,0.91324200913242,0.9095652173913044,0.9041939207387457,0.9017543859649123,0.9004287756074321,0.9052924791086351,0.9166666666666666,0.9290138161029061,0.9345794392523364,0.9395386614684861,0.9354422207876049,0.9306260575296108,0.9283713485394157,0.9270516717325228,0.9247661651077674,0.9183027232425586,0.92,0.9258984809188588,0.9355932203389831,0.9451476793248945,0.9531772575250836,0.9522893420546364,0.9486029665401863,0.9432314410480349,0.9379310344827586,0.9309090909090909,0.9298998569384835,0.9266123054114158,0.9206928492034087,0.9303622872108249,0.937007874015748,0.9468782338737496,0.9550561797752809,0.9538461538461539,0.9483282674772037,0.9417304296645085,0.9364908503767492,0.9327354260089686,0.927536231884058,0.923432089265102,0.9199567333693889,0.9307359307359307,0.9414533686378347,0.9523355576739753,0.9571448105035998,0.9578947368421052,0.9528346831824679,0.9457870040555846,0.9444444444444444,0.9390774125132555,0.9375,0.9304703476482618,0.9304489416143289,0.9333333333333333,0.9487085546803444,0.9583333333333334,0.9649122807017544,0.9629814907453726,0.9589606104351412,0.9554777388694348,0.9533799533799534,0.9473684210526315,0.9438886472379295,0.9433962264150944,0.9382819015846539,0.9473407056345445,0.95954130665454,0.9653407769248662,0.970873786407767,0.9692307692307692,0.9654972455784285,0.9619230769230769,0.9574468085106383,0.954653937947494,0.9502375593898474,0.946969696969697,0.9462300991288676,0.952054794520548,0.9612550010528532,0.9711595055915244,0.9766555502620295,0.9740898655296819,0.9707236083235782,0.966183574879227
7,44,Ohio,State,0.8885298869143781,0.8922745460141582,0.9066487575554063,0.917673478419226,0.9206857549531688,0.9235505387378142,0.9166666666666666,0.9088888888888889,0.904655417767839,0.8939974457215837,0.8870967741935484,0.8942486085343229,0.8934953538241601,0.8919426742837924,0.8933048813016804,0.8981481481481481,0.905300948657195,0.9103255813953488,0.9126829268292683,0.9078462348604529,0.9021164021164021,0.9011264080100125,0.8962067528136723,0.8951707891637221,0.8876047526643446,0.8858267716535433,0.8990784445942909,0.909466721785862,0.9252313078269567,0.9302325581395349,0.92880978865406,0.9267431597528685,0.9194854692710814,0.9188841052301766,0.9169054441260746,0.9160892994611239,0.9151572926596759,0.9073842302878599,0.9176470588235294,0.9312477264459803,0.9432191571674521,0.9470899470899471,0.9478672985781991,0.9433962264150944,0.9403134378126042,0.9330143540669856,0.9322419281491587,0.9232480533926585,0.9237228831350595,0.9212121212121213,0.9333333333333333,0.940925015925016,0.9505591524426134,0.9560229445506692,0.9554140127388535,0.9476190476190476,0.9450607501320655,0.9384775808133472,0.9370629370629371,0.9310344827586207,0.9292351679771265,0.9299699376300898,0.940924249642687,0.9483667017913593,0.9573542210617929,0.9606404269513009,0.9607142857142857,0.9568480300187617,0.9515859766277128,0.9473684210526315,0.9414285714285714,0.9361430395913155,0.9411764705882353,0.9383033419023136,0.9473684210526315,0.9567567567567568,0.9629012088370155,0.9687847257298717,0.9683544303797469,0.9642857142857143,0.9600495509445649,0.9566184649610678,0.9536082474226805,0.949964260185847,0.9473684210526315,0.9444549383882043,0.9576923076923077,0.9658421672555948,0.9705882352941176,0.975609756097561,0.9749910682386567,0.9717756341550554,0.9675675675675676,0.962278675904542,0.9569377990430622,0.9523582658408766,0.9513590844062947,0.9532892175943947,0.9631019387116948,0.972972972972973,0.9773182121414277,0.9832935560859188,0.9797014925373134,0.9743589743589743,0.9702850212249848
8,30,Michigan,State,0.8857142857142857,0.8793969849246231,0.8893829905503057,0.8888888888888888,0.8969341161121983,0.9009009009009009,0.8995633187772926,0.9022556390977443,0.9,0.8953125,0.8833333333333333,0.8835341365461847,0.8925581395348837,0.8876190476190476,0.8969607116382505,0.895756498068142,0.9056501757231684,0.9099181073703366,0.9132369299221357,0.9133333333333333,0.9108400708400708,0.9090909090909091,0.905928395419626,0.9066100667070952,0.9059434506635892,0.9024390243902439,0.9090909090909091,0.9169921792053877,0.9329896907216495,0.9433962264150944,0.9443402126328956,0.9446808510638298,0.9411764705882353,0.9354120267260579,0.9333777798942807,0.9345106696100074,0.9345794392523364,0.9333333333333333,0.9375,0.9464627151051626,0.9523809523809523,0.9603841536614646,0.9645006710543009,0.96,0.9565217391304348,0.95,0.9409409409409409,0.9377344336084021,0.9311104120792703,0.930379746835443,0.9313229776114555,0.9411418481459682,0.9552238805970149,0.9620318111852232,0.962278675904542,0.9571428571428572,0.9539748953974896,0.944206008583691,0.9369369369369369,0.9336558160187731,0.9332443257676902,0.925,0.9366909861143798,0.9483667017913593,0.96,0.9639869043288468,0.9649749821300929,0.9594663930220626,0.9528346831824679,0.9478672985781991,0.9419283134203945,0.9399332591768632,0.9348914858096828,0.9361702127659575,0.9444444444444444,0.9573542210617929,0.9654827413706853,0.9705882352941176,0.9720176730486009,0.967741935483871,0.9633333333333334,0.9574468085106383,0.9533781390017715,0.9504752376188094,0.9435483870967742,0.9470198675496688,0.9547738693467337,0.9673115410273516,0.9761796170495372,0.9812382739212008,0.98,0.9736842105263158,0.9692307692307692,0.962536023054755,0.9559804357492219,0.9547738693467337,0.9525880817746847,0.9515340151178302,0.9622222222222222,0.974903474903475,0.9832635983263598,0.9853687667960586,0.9846153846153847,0.9776751347190146,0.9705882352941176
9,16,Georgia,State,0.8791994281629736,0.8814472671285605,0.8881345264947023,0.8952080042127436,0.8995296295028328,0.9087272727272727,0.9060955518945635,0.9024611348842793,0.89086859688196,0.8888888888888888,0.8773466833541927,0.8761904761904762,0.8714596949891068,0.8608608608608609,0.8787878787878788,0.8799454297407913,0.892,0.8974358974358975,0.8898009763005957,0.897917517354022,0.8888536043188314,0.8884673646617421,0.9,0.8978963571062083,0.9011264080100125,0.8934129337858923,0.9090909090909091,0.9221631759924976,0.9307130825379001,0.9330450537955768,0.9347826086956522,0.9343731606827546,0.9336445481827276,0.9363636363636364,0.9338627241941553,0.9406270847231488,0.9380952380952381,0.9447943682845499,0.9486029665401863,0.9523809523809523,0.9548895719489983,0.9565217391304348,0.9566326530612245,0.9562394781144781,0.9526315789473684,0.9506790564689064,0.9471883306397665,0.944206008583691,0.9432662340979922,0.9437559580552908,0.9499749874937469,0.9569948186528497,0.96,0.9612903225806452,0.9579789894947474,0.9523091481565988,0.9499323410013532,0.9478260869565217,0.9444135630906059,0.9443826473859844,0.9428571428571428,0.9464285714285714,0.9565217391304348,0.96,0.9661538461538461,0.9660107334525939,0.9638136957915793,0.9603340292275574,0.9562638991845812,0.9534368070953437,0.9524199843871974,0.9510567296996663,0.9508196721311475,0.9557894736842105,0.9621621621621622,0.969,0.9734991887506761,0.9748314555902449,0.9729656663963233,0.9699769053117783,0.9666666666666667,0.9658502932045533,0.9644798327594688,0.9621993127147767,0.9633333333333334,0.9633269818761909,0.9721831975273953,0.9749839640795381,0.9777777777777777,0.9781410641868977,0.9755555555555555,0.9726027397260274,0.9709302325581395,0.967591784488276,0.9674728940783986,0.9669596847529555,0.9653579676674365,0.9714122355631789,0.9755004481625336,0.9818181818181818,0.9828387536161636,0.9824218210531294,0.9808510638297873,0.9765886287625418,0.9706704608943633
10,36,North Carolina,State,0.9064766191547887,0.9079365079365079,0.9190031152647975,0.9270795163063393,0.9317647058823529,0.9298245614035088,0.9255014326647565,0.9216867469879518,0.9118541033434651,0.9100676267152557,0.9056244041944709,0.8992805755395683,0.8947368421052632,0.8934888004326669,0.9006433166547534,0.9178016762765728,0.9185441941074524,0.9253731343283582,0.9181836367273455,0.915,0.9100537458436718,0.9058823529411765,0.9034334763948498,0.9024390243902439,0.9050350541746335,0.9047237790232185,0.9152325712354995,0.9246901811248809,0.9361702127659575,0.9375,0.9351892127011744,0.932519498134961,0.92949108913368494,0.928622451783065,0.9261576971214017,0.9265108443882922,0.927707210674878,0.93,0.9388888888888889,0.9454949944382648,0.9504752376188094,0.9545584452700772,0.9521158129175946,0.9523809523809523,0.9482758620689655,0.9443608667770553,0.9441233140655106,0.9375,0.9375,0.9385230993088396,0.9457364341085271,0.9518716577540107,0.9587123862841148,0.9598393574297188,0.9565217391304348,0.9556810783135096,0.9495135055084643,0.9461538461538461,0.9460154241645244,0.944549394377153,0.9424842919284678,0.9411764705882353,0.9538461538461539,0.9579231974861331,0.9644444444444444,0.9643498332905873,0.962800875273523,0.9613899613899614,0.958139534883721,0.9546998867497168,0.9545454545454546,0.9523809523809523,0.9516999745902356,0.9559804357492219,0.9624494497059723,0.9688311688311688,0.9733036707452726,0.9735849056603774,0.972972972972973,0.9699851374585611,0.9674165824064711,0.9654057288550095,0.9623630300142926,0.9636650868878357,0.9626506024096385,0.9644444444444444,0.9731696225557072,0.9781420765027322,0.9793634137810423,0.9799879678524246,0.9793388429752066,0.9776536312849162,0.9736842105263158,0.970970970970971,0.9693877551020408,0.967741935483871,0.9658838509511705,0.9699769053117783,0.9787234042553191,0.9810050492906949,0.9833333333333333,0.9826589595375722,0.9808594415971543,0.9767441860465116,0.9746712068497545
11,40,New Jersey,State,0.9031179199482144,0.9,0.9016133229247983,0.9122432648706321,0.9152479193585903,0.9279475982532751,0.9230769230769231,0.92,0.9143686502177069,0.9055372932759638,0.90524391861817,0.9003676501863772,0.8928188638799571,0.8902250535841867,0.8867924528301887,0.8943816629579533,0.9004287756074321,0.9124718673438134,0.9196891191709845,0.9131206420023289,0.9000060000400003,0.8970916177650898,0.8861674008810573,0.8867667121418826,0.8772582012652449,0.8857142857142857,0.8881330910742675,0.9,0.9090909090909091,0.9180327868852459,0.9288824383164006,0.9254138398914518,0.92,0.918854415274463,0.9190751445086706,0.9166666666666666,0.9170396690032783,0.9181894065867355,0.9142857142857143,0.9257215820995348,0.9381733824281717,0.9469987995198079,0.9506337558372249,0.95,0.9473704155166642,0.9423630661057103,0.9396786905122765,0.9346033049172816,0.9340659340659341,0.9331103678929766,0.9333333333333333,0.9357635030006668,0.9472981987991995,0.9559804357492219,0.9574468085106383,0.9538461538461539,0.9451219512195121,0.9387755102040817,0.9345229422388197,0.9333333333333333,0.9292351679771265,0.9312320916905444,0.9345794392523364,0.9411764705882353,0.9489973320183491,0.9532710280373832,0.9592224047525973,0.9558878036017966,0.9491764862711771,0.9437751004016064,0.9419354838709677,0.9368793562186831,0.9354838709677419,0.9339622641509434,0.9375,0.9450830140485313,0.9538479881727355,0.9583333333333334,0.9622641509433962,0.9592019931850657,0.9545454545454546,0.9506790564689064,0.9492429378531073,0.9452054794520548,0.9446915912792819,0.9416922912599984,0.9476170195031344,0.9552435192458759,0.962059620596206,0.9656652360515021,0.9682911257714407,0.9662921348314607,0.9620253164556962,0.9595753368721928,0.9555555555555556,0.9552238805970149,0.9519038076152304,0.9478672985781991,0.9541984732824428,0.9587328053355565,0.9660516605166052,0.9704515360086077,0.9712230215827338,0.9686478275039161,0.9635811836115327
12,56,Virginia,State,0.9435883080912252,0.9406270847231488,0.9433734939759036,0.9454545454545454,0.9523582658408766,0.9520634920634921,0.9491139240506329,0.9476177941563569,0.9451312990847571,0.9407576913297737,0.9341100843712334,0.9361661382641445,0.926181258199255,0.9260504201680673,0.9318480613509696,0.9424131131282374,0.9476504516372218,0.9523582658408766,0.9502375593898474,0.9461434891325254,0.940282131661442,0.933955970647098,0.9415429476581654,0.9335259659107582,0.9296305012944223,0.9334370485609512,0.9440450140668959,0.9569377990430622,0.9637324053718965,0.9660606060606061,0.9642857142857143,0.9603658536585366,0.95929203539823,0.9564521460758216,0.9593794651969789,0.9523809523809523,0.9551209064598809,0.9539929219879981,0.9642729500663739,0.9719678828003944,0.9776207302709069,0.9795862446910536,0.97581317764804,0.9730532681295767,0.9693815064298836,0.9672131147540983,0.9601920384076815,0.9579955784819455,0.952,0.9586491878027928,0.966933867735471,0.9727626459143969,0.9769141943506839,0.9767441860465116,0.9698996655518395,0.9653407769248662,0.9615236629472874,0.9583333333333334,0.9551111111111111,0.9506006006006006,0.9487341772151898,0.9543333333333334,0.9649122807017544,0.9734991887506761,0.977777728394952,0.9774948852011821,0.9732865166611901,0.9683794466403162,0.9646539027982327,0.9611575063119052,0.9573138060367923,0.9564759564759565,0.9552238805970149,0.9570487198121647,0.9669511258341734,0.9774193548387097,0.9803564932702801,0.9801960392078416,0.9770613399953572,0.9741969457609269,0.9717884130982368,0.9705419710383376,0.9661286656058196,0.9637931034482758,0.9638118214716526,0.9683666881859264,0.9765432098765432,0.984,0.9848484848484849,0.9852941176470589,0.9819967266775778,0.9772883688919477,0.975609756097561,0.972387771676718,0.9696969696969697,0.967741935483871,0.9672131147540983,0.9721048182586645,0.9814849970365878,0.9879903923138511,0.9899497487437185,0.99000099000099,0.9864926392472302,0.9812933276216793,0.9779513044887376
